source,target,weight
0,5,5
2,87,10
2,55,10
2,61,10
13,2,10
125,4,10
4,65,5
131,4,10
130,4,10
144,4,10
4,134,5
4,98,10
4,129,5
4,115,5
4,40,10
120,4,10
4,81,10
4,83,10
4,97,5
105,4,10
109,4,10
4,49,10
4,85,10
4,62,10
4,78,10
4,53,5
4,44,10
4,56,10
4,77,10
4,59,10
4,58,10
4,29,5
4,54,10
4,46,10
4,47,10
11,4,10
4,48,10
4,42,10
4,25,5
27,4,10
4,8,10
39,4,10
13,4,10
16,4,10
28,4,10
22,4,10
19,4,10
18,4,10
14,4,10
15,4,10
4,9,10
4,6,10
6,136,5
6,29,5
6,98,5
6,83,10
6,11,5
6,109,5
36,6,10
59,6,10
6,8,5
6,43,5
6,88,10
6,46,5
6,42,5
6,5,5
6,1,5
6,78,10
6,3,5
6,9,10
6,2,5
21,7,10
7,90,5
30,7,10
7,3,5
7,45,5
7,61,5
31,8,10
65,8,10
125,8,10
8,44,5
62,8,10
134,8,10
39,8,10
132,8,10
128,8,10
58,8,10
43,8,10
8,0,5
78,8,10
13,8,10
10,8,10
135,8,10
8,129,5
115,8,10
8,97,10
8,98,10
40,8,10
56,8,10
109,8,10
8,45,5
42,8,10
71,8,10
8,30,5
8,46,5
15,8,10
8,5,5
24,8,10
8,61,5
47,8,10
48,8,10
8,3,5
8,9,5
53,8,10
21,8,10
8,1,5
8,2,5
11,8,10
21,9,10
144,9,10
9,98,10
9,74,5
9,1,5
9,0,5
115,9,10
9,97,10
36,9,10
109,9,10
9,45,5
56,9,10
40,9,10
78,9,10
77,9,10
71,9,10
9,54,5
9,24,5
10,9,10
62,9,10
11,9,10
39,9,10
47,9,10
59,9,10
43,9,10
29,9,10
25,9,10
9,3,5
9,30,5
9,2,5
48,9,10
9,5,5
13,9,10
9,46,5
42,9,10
9,61,5
53,9,10
16,9,10
27,9,10
9,22,5
9,28,5
18,9,10
15,9,10
19,9,10
14,9,10
10,68,10
10,17,10
10,126,10
10,40,10
10,135,10
10,29,5
10,128,10
10,101,5
10,132,10
10,71,10
10,13,10
10,142,10
10,119,10
10,134,10
10,58,10
10,7,5
10,90,5
10,2,5
10,115,5
10,36,10
10,31,10
10,1,5
10,21,5
10,0,5
11,134,10
11,128,10
11,52,5
11,67,5
11,65,10
11,53,5
11,56,5
11,83,10
11,110,5
11,68,10
11,43,10
11,36,10
11,71,10
11,29,5
11,21,5
11,61,5
11,59,10
11,62,10
11,46,5
11,30,5
11,5,5
11,13,10
11,1,5
11,28,10
11,2,5
11,48,5
11,19,5
11,42,10
11,24,10
12,137,5
106,12,10
12,41,10
12,27,5
12,76,10
12,138,5
12,89,5
12,70,10
12,79,10
12,63,10
12,93,10
12,57,10
12,142,10
12,94,10
12,60,10
118,12,10
12,73,10
12,23,10
103,12,10
12,21,5
12,33,10
12,55,5
117,12,10
12,96,10
111,12,10
12,38,10
12,1,5
12,45,5
110,12,10
125,13,10
13,107,5
13,95,5
13,101,5
13,144,10
13,112,5
13,132,10
13,17,10
13,142,10
13,138,10
13,98,10
13,141,10
13,136,10
13,135,10
13,134,10
13,58,10
13,37,5
119,13,10
128,13,10
13,36,5
13,43,5
13,52,5
13,94,5
13,110,5
13,68,5
13,40,10
13,82,10
13,15,10
13,90,5
13,35,5
13,97,5
13,7,5
115,13,10
13,39,10
13,16,10
13,71,10
13,14,10
109,13,10
13,62,10
13,78,10
13,59,10
13,77,10
13,44,5
13,19,5
13,47,10
13,30,5
13,25,10
13,28,10
13,3,5
13,5,5
13,1,5
13,0,5
13,74,5
13,55,5
13,21,5
13,56,10
13,24,5
13,85,10
13,48,10
13,29,10
13,42,10
13,45,5
13,53,5
13,31,5
13,65,10
13,61,5
